Year,Industry,Gas Type,Gas Name,Emissions,,,,,
1990,"Agriculture, forestry and fishing",CO2,Carbon Dioxide,"8,373.20",,,,,
1990,Mining and quarrying,CO2,Carbon Dioxide,"24,153.80",,,,,
1990,Manufacturing,CO2,Carbon Dioxide,"139,185.50",,,,,
1990,"Electricity, gas, steam and air conditioning supply",CO2,Carbon Dioxide,"205,315.30",,,,,
1990,"Water supply; sewerage, waste management and remediation activities",CO2,Carbon Dioxide,"4,323.90",,,,,
1990,Construction,CO2,Carbon Dioxide,"9,294.90",,,,,
1990,Wholesale and retail trade; repair of motor vehicles and motorcycles,CO2,Carbon Dioxide,"11,542.70",,,,,
1990,Transport and storage,CO2,Carbon Dioxide,"64,932.20",,,,,
1990,Accommodation and food services,CO2,Carbon Dioxide,"2,947.20",,,,,
1990,Information and communication,CO2,Carbon Dioxide,"1,085.70",,,,,
1990,Financial and insurance activities,CO2,Carbon Dioxide,329.3,,,,,
1990,Real estate activities,CO2,Carbon Dioxide,631.9,,,,,
1990,"Professional, scientific and technical activities",CO2,Carbon Dioxide,"2,245.90",,,,,
1990,Administrative and support service activities,CO2,Carbon Dioxide,"2,640.50",,,,,
1990,Public administration and defence; compulsory social security,CO2,Carbon Dioxide,"10,728.00",,,,,
1990,Education,CO2,Carbon Dioxide,"5,445.80",,,,,
1990,Human health and social work activities,CO2,Carbon Dioxide,"5,189.90",,,,,
1990,"Arts, entertainment and recreation",CO2,Carbon Dioxide,"1,538.80",,,,,
1990,Other service activities,CO2,Carbon Dioxide,"1,107.70",,,,,
1990,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,CO2,Carbon Dioxide,44.1,,,,,
1990,Consumer expenditure,CO2,Carbon Dioxide,"138,222.80",,,,,
1991,"Agriculture, forestry and fishing",CO2,Carbon Dioxide,"8,434.4",,,,,
1991,Mining and quarrying,CO2,Carbon Dioxide,"23,661.6",,,,,
1991,Manufacturing,CO2,Carbon Dioxide,"139,758.4",,,,,
