Year,Expenditure,Food Type,Inflation,, GDP Growth (%),,,,,,,,,,,,,,,,,
2001,355,Non-carcase meat and meat products,1.20%,,2.0727,,,,,,,,,,,,,,,,,
2002,364,Non-carcase meat and meat products,1.20%,,2.1232,,,,,,,,,,,,,,,,,
2003,382,Non-carcase meat and meat products,1.40%,,3.0299,,,,,,,,,,,,,,,,,
2004,380,Non-carcase meat and meat products,1.30%,,2.3556,,,,,,,,,,,,,,,,,
2005,381,Non-carcase meat and meat products,2.00%,,2.5933,,,,,,,,,,,,,,,,,
2006,385,Non-carcase meat and meat products,2.30%,,2.5841,,,,,,,,,,,,,,,,,
2007,393,Non-carcase meat and meat products,2.30%,,2.2695,,,,,,,,,,,,,,,,,
2008,406,Non-carcase meat and meat products,3.60%,,-0.2396,,,,,,,,,,,,,,,,,
2009,423,Non-carcase meat and meat products,2.20%,,-4.2474,,,,,,,,,,,,,,,,,
2010,441,Non-carcase meat and meat products,3.30%,,2.1314,,,,,,,,,,,,,,,,,
2011,449,Non-carcase meat and meat products,4.50%,,1.4576,,,,,,,,,,,,,,,,,
2012,471,Non-carcase meat and meat products,2.80%,,1.4699,,,,,,,,,,,,,,,,,
2013,484,Non-carcase meat and meat products,2.60%,,1.8900,,,,,,,,,,,,,,,,,
2014,482,Non-carcase meat and meat products,1.50%,,2.9912,,,,,,,,,,,,,,,,,
2015,456,Non-carcase meat and meat products,0.10%,,2.6226,,,,,,,,,,,,,,,,,
2016,458,Non-carcase meat and meat products,0.70%,,2.2635,,,,,,,,,,,,,,,,,
2017,485,Non-carcase meat and meat products,2.70%,,2.1345,,,,,,,,,,,,,,,,,
2018,492,Non-carcase meat and meat products,2.50%,,1.6509,,,,,,,,,,,,,,,,,
2019,503,Non-carcase meat and meat products,1.80%,,1.6719,,,,,,,,,,,,,,,,,
2020,510,Non-carcase meat and meat products,0.90%,,-9.2704,,,,,,,,,,,,,,,,,
2001,103,Carcase meat,1.20%,,2.0727,,,,,,,,,,,,,,,,,
2002,106,Carcase meat,1.20%,,2.1232,,,,,,,,,,,,,,,,,
2003,111,Carcase meat,1.40%,,3.0299,,,,,,,,,,,,,,,,,
2004,114,Carcase meat,1.30%,,2.3556,,,,,,,,,,,,,,,,,
