Date,Automotive fuel,Entertainment,Food and drink,"Pubs, restaurants and fast food",Retail,Travel and   accommodation
1/1/2020,125,114,102,119,120,106
1/2/2020,129,117,107,122,123,111
1/3/2020,132,116,107,122,121,113
1/4/2020,135,108,108,120,119,113
1/5/2020,135,99,107,113,118,112
1/6/2020,131,92,100,105,113,111
1/7/2020,126,90,90,95,111,109
1/8/2020,127,89,95,88,117,108
1/9/2020,120,83,93,83,112,103
1/10/2020,111,79,91,80,107,98
1/11/2020,101,78,91,80,105,94
1/12/2020,95,78,91,80,103,92
1/13/2020,93,77,91,79,103,90
1/14/2020,92,76,89,78,101,89
1/15/2020,91,76,89,78,100,89
1/16/2020,90,77,89,78,99,89
1/17/2020,91,78,90,79,98,89
1/18/2020,91,79,90,81,98,89
1/19/2020,91,80,90,82,98,89
1/20/2020,92,80,91,83,97,90
1/21/2020,93,81,92,84,97,91
1/22/2020,94,82,92,85,97,91
1/23/2020,94,82,91,86,98,90
1/24/2020,94,83,92,86,98,90
1/25/2020,93,84,92,87,98,91
1/26/2020,93,85,92,87,99,92
1/27/2020,93,86,92,87,99,90
1/28/2020,92,86,92,87,100,91
1/29/2020,91,86,92,86,100,90
1/30/2020,92,88,92,87,102,91
1/31/2020,93,90,92,88,106,93
2/1/2020,93,91,94,91,108,93
2/2/2020,94,93,95,92,108,94
2/3/2020,94,95,96,93,109,96
2/4/2020,94,97,96,93,109,96
2/5/2020,95,99,96,94,108,96
2/6/2020,95,98,97,94,106,96
2/7/2020,94,97,97,94,102,95
2/8/2020,94,97,97,94,100,95
2/9/2020,93,95,96,93,99,95
2/10/2020,94,93,96,94,98,95
2/11/2020,94,92,96,94,97,95
2/12/2020,94,90,96,94,96,94
2/13/2020,94,90,98,94,96,93
2/14/2020,95,88,99,94,95,94
2/15/2020,99,95,99,93,95,96
2/16/2020,101,108,101,95,97,97
2/17/2020,102,114,102,99,97,98
2/18/2020,103,119,103,102,98,100
2/19/2020,104,123,104,105,100,102
2/20/2020,104,126,103,109,100,105
2/21/2020,105,128,102,111,102,111
2/22/2020,106,121,102,112,102,118
2/23/2020,107,108,100,110,99,118
2/24/2020,106,101,99,107,98,116
2/25/2020,106,96,98,103,98,113
2/26/2020,106,91,98,100,97,110
2/27/2020,105,87,97,96,98,108
2/28/2020,105,86,97,95,98,100
2/29/2020,100,85,99,95,100,92
3/1/2020,99,86,100,96,103,89
3/2/2020,99,87,101,96,105,88
3/3/2020,99,87,102,96,106,88
3/4/2020,98,87,103,97,106,89
3/5/2020,99,87,104,97,106,89
3/6/2020,98,86,105,96,105,88
3/7/2020,98,85,105,97,103,86
3/8/2020,98,84,105,96,101,84
3/9/2020,98,82,106,96,100,82
3/10/2020,98,81,107,95,99,80
3/11/2020,98,79,108,94,98,78
3/12/2020,97,76,111,92,97,74
3/13/2020,97,71,117,89,95,72
3/14/2020,97,65,121,83,94,70
3/15/2020,97,56,123,76,92,67
3/16/2020,97,50,127,73,89,66
3/17/2020,97,44,131,68,86,63
3/18/2020,97,38,135,61,84,61
3/19/2020,96,32,137,55,82,59
3/20/2020,92,25,133,45,79,53
3/21/2020,88,19,128,33,75,46
3/22/2020,82,16,124,27,72,40
3/23/2020,77,13,118,23,70,35
3/24/2020,72,11,113,19,67,30
3/25/2020,67,10,107,16,65,26
3/26/2020,61,8,101,14,62,21
3/27/2020,57,7,99,11,61,18
3/28/2020,52,7,96,10,59,16
3/29/2020,48,6,94,9,59,14
3/30/2020,45,6,92,8,58,12
3/31/2020,43,7,93,8,60,10
4/1/2020,43,7,94,8,61,10
4/2/2020,42,7,94,8,62,9
4/3/2020,41,7,94,8,62,8
4/4/2020,41,7,96,8,62,8
4/5/2020,42,7,97,8,63,8
4/6/2020,42,7,98,8,64,8
4/7/2020,42,7,99,8,63,7
4/8/2020,42,7,101,8,62,7
4/9/2020,43,7,104,8,62,7
4/10/2020,43,7,105,8,60,7
4/11/2020,43,7,106,8,60,6
4/12/2020,43,7,102,8,58,6
4/13/2020,42,7,99,8,56,6
4/14/2020,41,6,99,8,57,6
4/15/2020,41,6,98,8,57,6
4/16/2020,41,6,94,8,56,6
4/17/2020,40,6,93,8,58,7
4/18/2020,40,6,92,8,58,7
4/19/2020,41,6,96,9,59,7
4/20/2020,42,6,98,8,61,7
4/21/2020,43,6,97,9,61,7
4/22/2020,43,6,97,9,61,7
4/23/2020,43,6,95,9,61,6
4/24/2020,45,6,98,9,62,6
4/25/2020,46,6,98,9,63,6
4/26/2020,46,6,99,9,64,7
4/27/2020,47,6,99,9,66,7
4/28/2020,47,7,99,9,67,7
4/29/2020,47,7,99,9,69,7
4/30/2020,48,7,101,10,74,7
5/1/2020,48,8,99,10,75,7
5/2/2020,48,8,98,10,76,8
5/3/2020,49,8,99,10,77,8
5/4/2020,50,8,100,10,78,8
5/5/2020,50,8,101,11,78,8
5/6/2020,52,8,102,11,78,8
5/7/2020,53,8,103,11,77,8
5/8/2020,54,7,105,11,75,8
5/9/2020,55,7,105,11,75,8
5/10/2020,54,7,104,12,75,8
5/11/2020,54,7,103,12,74,9
5/12/2020,55,7,103,12,74,9
5/13/2020,54,7,102,12,75,9
5/14/2020,54,8,100,12,75,9
5/15/2020,56,8,99,12,76,10
5/16/2020,57,8,100,13,77,10
5/17/2020,59,8,101,13,77,11
5/18/2020,60,9,100,13,79,11
5/19/2020,61,9,101,14,79,12
5/20/2020,63,9,102,14,80,12
5/21/2020,65,9,102,14,81,13
5/22/2020,66,10,103,15,82,13
5/23/2020,66,10,103,15,84,13
5/24/2020,67,10,103,16,84,14
5/25/2020,69,10,104,17,83,14
5/26/2020,70,10,104,17,84,14
5/27/2020,70,10,103,17,84,14
5/28/2020,71,11,104,17,86,15
5/29/2020,73,12,105,18,88,15
5/30/2020,76,13,106,18,88,15
5/31/2020,78,13,107,19,89,16
6/1/2020,78,13,108,19,93,16
6/2/2020,79,13,108,19,94,17
6/3/2020,80,14,108,20,95,18
6/4/2020,80,14,107,20,94,18
6/5/2020,80,12,106,21,93,18
6/6/2020,80,12,104,22,94,18
6/7/2020,79,12,103,22,93,19
6/8/2020,78,12,102,22,93,19
6/9/2020,77,13,101,22,92,19
6/10/2020,78,13,101,22,90,19
6/11/2020,77,13,100,23,90,19
6/12/2020,77,13,100,23,90,19
6/13/2020,77,13,100,24,89,20
6/14/2020,78,14,100,24,88,20
6/15/2020,80,14,100,25,88,21
6/16/2020,80,14,100,25,91,21
6/17/2020,81,15,100,26,92,21
6/18/2020,82,15,101,26,93,22
6/19/2020,84,15,100,27,94,23
6/20/2020,85,15,100,27,96,23
6/21/2020,85,16,100,28,96,23
6/22/2020,85,16,100,28,96,24
6/23/2020,87,16,101,28,95,24
6/24/2020,89,16,102,29,95,25
6/25/2020,91,16,102,30,94,26
6/26/2020,93,16,104,31,96,27
6/27/2020,93,17,103,31,97,28
6/28/2020,94,17,103,31,99,29
6/29/2020,95,17,103,32,99,31
6/30/2020,96,18,103,32,102,32
7/1/2020,96,19,103,33,105,34
7/2/2020,96,19,102,33,107,35
7/3/2020,96,19,101,34,107,37
7/4/2020,98,20,102,37,107,39
7/5/2020,100,21,102,40,107,40
7/6/2020,101,22,103,41,108,41
7/7/2020,102,23,103,43,108,42
7/8/2020,103,23,102,44,107,42
7/9/2020,105,23,102,47,107,43
7/10/2020,107,24,102,50,107,44
7/11/2020,110,25,103,51,108,44
7/12/2020,113,25,103,53,107,46
7/13/2020,114,25,103,54,107,47
7/14/2020,116,25,104,55,107,47
