Date,Employment num,Ethnicity
Jan-Mar 2018,333494.00,Mixed/ multiple ethnic groups
Apr-Jun 2018,380357.00,Mixed/ multiple ethnic groups
Jul-Sep 2018,388951.00,Mixed/ multiple ethnic groups
Oct-Dec 2018,374589.00,Mixed/ multiple ethnic groups
Jan-Mar 2019,395705.00,Mixed/ multiple ethnic groups
Apr-Jun 2019,342845.00,Mixed/ multiple ethnic groups
Jul-Sep 2019,362091.00,Mixed/ multiple ethnic groups
Oct-Dec 2019,366091.00,Mixed/ multiple ethnic groups
Jan-Mar 2020,406264.00,Mixed/ multiple ethnic groups
Apr-Jun 2020,423567.00,Mixed/ multiple ethnic groups
Jul-Sep 2020,435805.00,Mixed/ multiple ethnic groups
Oct-Dec 2020,444330.00,Mixed/ multiple ethnic groups
Jan-Mar 2021,440996.00,Mixed/ multiple ethnic groups
Apr-Jun 2021,468043.00,Mixed/ multiple ethnic groups
Jul-Sep 2021,462990.00,Mixed/ multiple ethnic groups
Oct-Dec 2021,466198.00,Mixed/ multiple ethnic groups
Jan-Mar 2022,495445.00,Mixed/ multiple ethnic groups
Jan-Mar 2018,854469.00,Indian
Apr-Jun 2018,898436.00,Indian
Jul-Sep 2018,905519.00,Indian
Oct-Dec 2018,884336.00,Indian
Jan-Mar 2019,843965.00,Indian
Apr-Jun 2019,873615.00,Indian
Jul-Sep 2019,873779.00,Indian
Oct-Dec 2019,858912.00,Indian
Jan-Mar 2020,937002.00,Indian
Apr-Jun 2020,985069.00,Indian
Jul-Sep 2020,943074.00,Indian
Oct-Dec 2020,936896.00,Indian
Jan-Mar 2021,954195.00,Indian
Apr-Jun 2021,969337.00,Indian
Jul-Sep 2021,1000784.00,Indian
Oct-Dec 2021,995170.00,Indian
Jan-Mar 2022,961400.00,Indian
Jan-Mar 2018,441704.00,Pakistani
Apr-Jun 2018,466628.00,Pakistani
Jul-Sep 2018,447177.00,Pakistani
Oct-Dec 2018,443865.00,Pakistani
Jan-Mar 2019,478466.00,Pakistani
Apr-Jun 2019,476012.00,Pakistani
Jul-Sep 2019,466643.00,Pakistani
Oct-Dec 2019,485180.00,Pakistani
Jan-Mar 2020,474401.00,Pakistani
Apr-Jun 2020,459458.00,Pakistani
Jul-Sep 2020,397149.00,Pakistani
Oct-Dec 2020,388415.00,Pakistani
Jan-Mar 2021,404657.00,Pakistani
Apr-Jun 2021,438676.00,Pakistani
Jul-Sep 2021,454884.00,Pakistani
Oct-Dec 2021,450634.00,Pakistani
Jan-Mar 2022,529139.00,Pakistani
Jan-Mar 2018,184249.00,Bangladeshi
Apr-Jun 2018,188682.00,Bangladeshi
Jul-Sep 2018,188313.00,Bangladeshi
Oct-Dec 2018,185571.00,Bangladeshi
Jan-Mar 2019,200278.00,Bangladeshi
Apr-Jun 2019,204267.00,Bangladeshi
Jul-Sep 2019,193641.00,Bangladeshi
Oct-Dec 2019,208100.00,Bangladeshi
Jan-Mar 2020,222237.00,Bangladeshi
Apr-Jun 2020,187749.00,Bangladeshi
Jul-Sep 2020,193919.00,Bangladeshi
Oct-Dec 2020,182222.00,Bangladeshi
Jan-Mar 2021,182416.00,Bangladeshi
Apr-Jun 2021,201103.00,Bangladeshi
Jul-Sep 2021,197667.00,Bangladeshi
Oct-Dec 2021,218791.00,Bangladeshi
Jan-Mar 2022,201669.00,Bangladeshi
Jan-Mar 2018,171651.00,Chinese
Apr-Jun 2018,174583.00,Chinese
Jul-Sep 2018,188587.00,Chinese
Oct-Dec 2018,184602.00,Chinese
Jan-Mar 2019,142579.00,Chinese
Apr-Jun 2019,155528.00,Chinese
Jul-Sep 2019,153399.00,Chinese
Oct-Dec 2019,149716.00,Chinese
Jan-Mar 2020,174389.00,Chinese
Apr-Jun 2020,160079.00,Chinese
Jul-Sep 2020,207131.00,Chinese
Oct-Dec 2020,214449.00,Chinese
Jan-Mar 2021,195068.00,Chinese
Apr-Jun 2021,189814.00,Chinese
Jul-Sep 2021,189881.00,Chinese
Oct-Dec 2021,196708.00,Chinese
Jan-Mar 2022,180279.00,Chinese
Jan-Mar 2018,911501.00,Black/ African/ Caribbean/ Black British
Apr-Jun 2018,928707.00,Black/ African/ Caribbean/ Black British
Jul-Sep 2018,975064.00,Black/ African/ Caribbean/ Black British
Oct-Dec 2018,962698.00,Black/ African/ Caribbean/ Black British
Jan-Mar 2019,955795.00,Black/ African/ Caribbean/ Black British
Apr-Jun 2019,975511.00,Black/ African/ Caribbean/ Black British
Jul-Sep 2019,1086549.00,Black/ African/ Caribbean/ Black British
Oct-Dec 2019,1026673.00,Black/ African/ Caribbean/ Black British
Jan-Mar 2020,1024496.00,Black/ African/ Caribbean/ Black British
Apr-Jun 2020,1009133.00,Black/ African/ Caribbean/ Black British
Jul-Sep 2020,1062105.00,Black/ African/ Caribbean/ Black British
Oct-Dec 2020,967226.00,Black/ African/ Caribbean/ Black British
Jan-Mar 2021,1014681.00,Black/ African/ Caribbean/ Black British
Apr-Jun 2021,999687.00,Black/ African/ Caribbean/ Black British
Jul-Sep 2021,1050085.00,Black/ African/ Caribbean/ Black British
Oct-Dec 2021,1041979.00,Black/ African/ Caribbean/ Black British
Jan-Mar 2022,1044945.00,Black/ African/ Caribbean/ Black British
Jan-Mar 2018,842185.00,Other4
Apr-Jun 2018,866818.00,Other4
Jul-Sep 2018,869712.00,Other4
Oct-Dec 2018,907067.00,Other4
Jan-Mar 2019,908164.00,Other4
Apr-Jun 2019,841801.00,Other4
Jul-Sep 2019,889987.00,Other4
Oct-Dec 2019,896776.00,Other4
Jan-Mar 2020,961424.00,Other4
Apr-Jun 2020,887845.00,Other4
Jul-Sep 2020,872319.00,Other4
Oct-Dec 2020,891151.00,Other4
Jan-Mar 2021,910748.00,Other4
Apr-Jun 2021,883312.00,Other4
Jul-Sep 2021,866770.00,Other4
Oct-Dec 2021,892687.00,Other4
Jan-Mar 2022,1021501.00,Other4
