code,label,cx,cy
E05000650,Astley Bridge,-2.4445180030191596,53.611163890695394
E05000651,Bradshaw,-2.3869010086353697,53.609628290408395
E05000652,Breightmet,-2.387391077441078,53.58223082010582
E05000653,Bromley Cross,-2.428371181826966,53.62330031838242
E05000654,Crompton,-2.4255540257933705,53.59295590135333
E05000655,Farnworth,-2.403790890365061,53.54940395798736
E05000656,Great Lever,-2.427606361076372,53.567806800348244
E05000657,Halliwell,-2.443790265486726,53.582814861465515
E05000658,Harper Green,-2.430182430492689,53.551612844885945
E05000659,Heaton and Lostock,-2.4856465730945816,53.577694381603756
E05000660,Horwich and Blackrod,-2.565189075304096,53.58825340808226
E05000661,Horwich North East,-2.526473459558721,53.60183338788417
E05000662,Hulton,-2.463144026197863,53.546974205504824
E05000663,Kearsley,-2.3674627642146433,53.53957820330125
E05000664,Little Lever and Darcy Lever,-2.386010418414253,53.56428199800915
E05000665,Rumworth,-2.450849547668754,53.568968844406236
E05000666,Smithills,-2.482963702758634,53.60339774806408
E05000667,Tonge with the Haulgh,-2.4092648817074394,53.58154241719521
E05000668,Westhoughton North and Chew Moor,-2.522677517384579,53.55809148768203
E05000669,Westhoughton South,-2.53304238246047,53.53874744073036
E05000719,Alexandra,-2.0935945548951267,53.52797868122859
E05000720,Chadderton Central,-2.160462105518124,53.538607744307924
E05000721,Chadderton North,-2.1504736155363373,53.55391794949601
E05000722,Chadderton South,-2.153435699892564,53.52538794985667
E05000723,Coldhurst,-2.1239825232274927,53.54553321127404
E05000724,Crompton,-2.110364077823387,53.582844206039
E05000725,Failsworth East,-2.1419372661815053,53.50496494210094
E05000726,Failsworth West,-2.1640329493087553,53.50402350230415
E05000727,Hollinwood,-2.130604046095002,53.520292009085274
E05000728,Medlock Vale,-2.1107940730957986,53.518902336287795
E05000729,Royton North,-2.1385518430253234,53.57237033424318
E05000730,Royton South,-2.1148134713128686,53.56086434705282
E05000731,Saddleworth North,-2.010027360786397,53.574541012302035
E05000732,Saddleworth South,-1.9707418135245867,53.5330442201772
E05000733,Saddleworth West and Lees,-2.0651689485365505,53.53472111249827
E05000734,St James',-2.081347400595458,53.56274689439717
E05000735,St Mary's,-2.0987547223974077,53.541723189004635
E05000736,Shaw,-2.0786491247650662,53.58329995136241
E05000737,Waterhead,-2.079611162023009,53.549751593870866
E05000738,Werneth,-2.1280258270795036,53.53385719894637
E05000779,Bramhall North,-2.159653164712193,53.3720093672875
E05000780,Bramhall South and Woodford,-2.170182512081397,53.34728774949941
E05000781,Bredbury and Woodley,-2.1121444650011476,53.42706721212817
E05000782,Bredbury Green and Romiley,-2.0915038217312074,53.41368431034643
E05000783,Brinnington and Central,-2.1462883643183295,53.418710441808
E05000784,Cheadle and Gatley,-2.2233970702579127,53.39014497578144
E05000785,Cheadle Hulme North,-2.196003729044885,53.39164262137579
E05000786,Cheadle Hulme South,-2.1960956522321493,53.36729627104569
E05000787,Davenport and Cale Green,-2.164237232976915,53.391762536399
E05000788,Edgeley and Cheadle Heath,-2.180964916397771,53.402900254229
E05000789,Hazel Grove,-2.115477856869176,53.37453583226999
E05000790,Heald Green,-2.225278250467542,53.367588658815336
E05000791,Heatons North,-2.186258736405024,53.426648904910856
E05000792,Heatons South,-2.190166104614175,53.412463950958376
E05000793,Manor,-2.1384830754406847,53.40415496797597
E05000794,Marple North,-2.0399579349984545,53.404556826681755
E05000795,Marple South and High Lane,-2.0707638052141744,53.37631775477948
E05000796,Offerton,-2.1152406713953495,53.39370800351876
E05000797,Reddish North,-2.1612620309852337,53.44499331694691
E05000798,Reddish South,-2.1570284368340946,53.42885421765601
E05000799,Stepping Hill,-2.137605393473432,53.38151221117376
E05000800,Ashton Hurst,-2.0755001855611592,53.50773761652149
E05000801,Ashton St Michael's,-2.0789283018867923,53.48964182389937
E05000802,Ashton Waterloo,-2.104274460786196,53.50489928254163
E05000803,Audenshaw,-2.1292742969100766,53.4717879178742
E05000804,Denton North East,-2.1090270273337146,53.45710019245259
E05000805,Denton South,-2.1051372880597685,53.442405579564266
E05000806,Denton West,-2.1352269286821595,53.45108047651843
E05000807,Droylsden East,-2.1369904795091523,53.48538652254517
E05000808,Droylsden West,-2.153748714063355,53.487007273401986
E05000809,Dukinfield,-2.0903100014029614,53.47373070089892
